what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1330988814366
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1330988814366
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1330988814371
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1330988814371
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1330988814376
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1330988814376
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1330988814376
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1330988814396
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1330988814405
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1330988814407
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1330988814408
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1330988814410
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1330988814412
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1330988814414
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1330988814438
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1330988814443
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1330988814443
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.3.v20111014-0100,"org.eclipse.mylyn.bugzilla.core",1330988814443
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1330988814443
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110819-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1330988814448
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16l,2.2.2.I20110819-1700,"org.polarion.eclipse.team.svn.connector.svnkit16l",1330988814448
started,bundle,org.eclipse.team.svn.core,0.7.9.I20111123-1700,"org.eclipse.team.svn.core",1330988814453
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20111123-1700,"org.eclipse.team.svn.ui",1330988814453
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit15,2.2.2.I20111119-1700,"org.polarion.eclipse.team.svn.connector.svnkit15",1330988814458
started,bundle,org.eclipse.egit.core,2.0.0.201203051046,"org.eclipse.egit.core",1330988814463
started,bundle,org.eclipse.egit.ui,2.0.0.201203051046,"org.eclipse.egit.ui",1330988814463
started,bundle,org.eclipse.jgit,2.0.0.201203050411,"org.eclipse.jgit",1330988814483
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1330988814483
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1330988814483
os,sysinfo,,,"win32",1330988814508
arch,sysinfo,,,"x86_64",1330988814508
ws,sysinfo,,,"win32",1330988814508
locale,sysinfo,,,"no_NO",1330988814508
processors,sysinfo,,,"4",1330988814508
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1330988814508
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1330988814508
java.specification.name,sysinfo,,,"Java Platform API Specification",1330988814508
java.specification.vendor,sysinfo,,,"Oracle Corporation",1330988814508
java.specification.version,sysinfo,,,"1.7",1330988814508
java.vendor,sysinfo,,,"Oracle Corporation",1330988814508
java.version,sysinfo,,,"1.7.0_02",1330988814508
java.vm.info,sysinfo,,,"mixed mode",1330988814508
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1330988814508
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330988814508
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1330988814508
java.vm.specification.version,sysinfo,,,"1.7",1330988814508
java.vm.vendor,sysinfo,,,"Oracle Corporation",1330988814508
java.vm.version,sysinfo,,,"22.0-b10",1330988814508
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1330988814570
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20111123-1700,"org.eclipse.team.svn.revision.graph",1330988814660
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1330988815210
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330989362533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330989366932
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330989367337
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1330989367977
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1330989367993
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1330989369038
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1330989369053
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1330989369131
